# Mean dwarf stellar sequence from Pecaut & Mamajek (2013, ApJS, 208, 9),
# using the maintained table "A Modern Mean Dwarf Stellar Color and Effective
# Temperature Sequence" by E. Mamajek (version 2022.04.16),
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Columns: SpT, Teff [K], BCv, R_Rsun, Mv, B-V, G-V, Bp-Rp, G-Rp, M_G,
# V-Ks, J-H, H-Ks, M_J, M_Ks, Msun.  Empty = not tabulated. Gaia = DR2.
SpT,Teff,BCv,R_Rsun,Mv,BV,GV,BpRp,GRp,M_G,VKs,JH,HKs,M_J,M_Ks,Msun
G1V,5860,-0.073,1.060,4.62,0.622,-0.158,0.803,0.448,4.462,1.500,0.279,0.070,3.47,3.120,1.03
G2V,5770,-0.085,1.012,4.80,0.650,-0.165,0.823,0.459,4.635,1.564,0.293,0.073,3.60,3.236,1.00
G3V,5720,-0.095,1.002,4.87,0.660,-0.167,0.832,0.464,4.703,1.588,0.299,0.074,3.66,3.282,0.99
G4V,5680,-0.10,0.991,4.93,0.670,-0.173,0.841,0.468,4.757,1.611,0.304,0.075,3.70,3.319,0.985
G5V,5660,-0.105,0.977,4.98,0.680,-0.179,0.850,0.473,4.801,1.635,0.310,0.076,3.73,3.345,0.98
G6V,5600,-0.115,0.949,5.10,0.700,-0.186,0.869,0.483,4.914,1.691,0.324,0.079,3.81,3.409,0.97
G7V,5550,-0.125,0.927,5.20,0.710,-0.194,0.880,0.489,5.006,1.705,0.327,0.080,3.90,3.495,0.95
G8V,5480,-0.14,0.914,5.30,0.730,-0.202,0.900,0.499,5.098,1.768,0.342,0.082,3.96,3.532,0.94
G9V,5380,-0.16,0.853,5.55,0.775,-0.210,0.950,0.524,5.34,1.857,0.364,0.087,4.14,3.693,0.90
K0V,5270,-0.195,0.813,5.78,0.816,-0.227,0.983,0.56,5.553,1.953,0.387,0.091,4.31,3.827,0.88
K1V,5170,-0.23,0.797,5.95,0.857,-0.25,1.01,0.56,5.65,2.06,0.404,0.094,4.39,3.889,0.86
K2V,5100,-0.26,0.783,6.07,0.884,-0.27,1.10,0.62,5.83,2.13,0.427,0.098,4.46,3.938,0.82
K3V,4830,-0.375,0.755,6.50,0.990,-0.32,1.21,0.66,6.20,2.40,0.487,0.109,4.70,4.100,0.78
K4V,4600,-0.52,0.713,6.98,1.090,-0.42,1.34,0.70,6.53,2.70,0.539,0.123,4.91,4.247,0.73
K5V,4440,-0.63,0.701,7.28,1.150,-0.44,1.43,0.74,6.83,2.88,0.568,0.132,5.10,4.397,0.70
K6V,4300,-0.75,0.669,7.64,1.240,-0.51,1.53,0.79,7.02,3.08,0.601,0.148,5.31,4.56,0.69
K7V,4100,-0.93,0.630,8.16,1.340,-0.58,1.70,0.86,7.57,3.35,0.619,0.164,5.59,4.81,0.64
K8V,3990,-1.03,0.615,8.43,1.363,-0.625,1.73,0.88,7.74,3.48,0.626,0.171,5.75,4.95,0.62
K9V,3930,-1.07,0.608,8.56,1.400,-0.66,1.79,0.90,8.03,3.55,0.631,0.180,5.82,5.01,0.59
M0V,3850,-1.15,0.588,8.80,1.420,-0.70,1.84,0.92,8.16,3.65,0.627,0.190,5.97,5.15,0.57
M0.5V,3770,-1.29,0.544,9.20,1.445,-0.76,1.97,0.97,8.44,3.84,0.620,0.208,6.19,5.36,0.54
M1V,3660,-1.42,0.501,9.64,1.485,-0.82,2.09,1.00,8.82,4.00,0.614,0.222,6.48,5.64,0.50
M1.5V,3620,-1.50,0.482,9.85,1.495,-0.87,2.13,1.02,8.98,4.10,0.608,0.227,6.59,5.75,0.47
M2V,3560,-1.62,0.446,10.21,1.505,-0.925,2.23,1.06,9.29,4.23,0.600,0.234,6.81,5.98,0.44
M2.5V,3470,-1.78,0.421,10.61,1.522,-1.02,2.39,1.10,9.67,4.43,0.589,0.244,7.01,6.18,0.40
M3V,3430,-1.93,0.361,11.15,1.53,-1.10,2.50,1.13,10.05,4.60,0.579,0.252,7.38,6.55,0.37
M3.5V,3270,-2.28,0.300,12.10,1.60,-1.28,2.78,1.19,10.87,5.00,0.558,0.269,7.93,7.10,0.27
M4V,3210,-2.51,0.274,12.61,1.65,-1.40,2.94,1.24,11.21,5.25,0.557,0.280,8.20,7.36,0.23
M4.5V,3110,-2.84,0.217,13.58,1.69,-1.54,3.16,1.28,12.04,5.65,0.564,0.301,8.80,7.93,0.184
M5V,3060,-3.11,0.196,14.15,1.83,-1.70,3.35,1.33,12.45,5.95,0.580,0.312,9.09,8.20,0.162
M5.5V,2930,-3.58,0.156,15.30,1.94,-1.95,3.71,1.38,13.35,6.50,0.588,0.329,9.72,8.80,0.123
M6V,2810,-4.13,0.137,16.32,2.01,-2.37,4.16,1.43,14.26,7.10,0.605,0.352,10.18,9.22,0.102
M6.5V,2740,-4.62,0.126,17.10,2.07,-2.70,4.50,1.48,14.40,7.60,0.609,0.360,10.47,9.50,0.093
M7V,2680,-4.99,0.120,17.70,2.12,-2.98,4.65,1.52,14.72,8.00,0.613,0.390,10.70,9.70,0.090
M7.5V,2630,-5.32,0.116,18.16,2.14,-3.15,4.72,1.55,15.20,8.35,0.650,0.422,10.88,9.81,0.088
M8V,2570,-5.65,0.114,18.60,2.15,-3.11,4.86,1.57,15.20,8.70,0.677,0.450,11.05,9.92,0.085
M8.5V,2420,-5.78,0.104,19.20,2.16,-3.09,5.10,1.59,15.90,8.90,0.69,0.465,11.46,10.30,0.080
