logg,Teff,Z,xi,aLSM,bLSM
4.0,5000,-4.5,2.0,0.1573,0.3675
4.5,5000,-4.5,2.0,0.1198,0.3824
5.0,5000,-4.5,2.0,0.0646,0.4062
3.5,5250,-4.5,2.0,0.2033,0.3342
4.0,5250,-4.5,2.0,0.1822,0.3472
4.5,5250,-4.5,2.0,0.1538,0.3637
5.0,5250,-4.5,2.0,0.1155,0.3836
3.5,5500,-4.5,2.0,0.2167,0.318
4.0,5500,-4.5,2.0,0.2004,0.329
4.5,5500,-4.5,2.0,0.178,0.3434
5.0,5500,-4.5,2.0,0.1495,0.3599
3.5,5750,-4.5,2.0,0.2228,0.3064
4.0,5750,-4.5,2.0,0.2173,0.3102
4.5,5750,-4.5,2.0,0.1953,0.326
5.0,5750,-4.5,2.0,0.1725,0.341
3.5,6000,-4.5,2.0,0.2227,0.2999
4.0,6000,-4.5,2.0,0.2148,0.3063
4.5,6000,-4.5,2.0,0.2078,0.3105
5.0,6000,-4.5,2.0,0.1782,0.331
3.5,6250,-4.5,2.0,0.2248,0.291
4.0,6250,-4.5,2.0,0.2198,0.2952
4.5,6250,-4.5,2.0,0.2087,0.3035
5.0,6250,-4.5,2.0,0.1921,0.3159
3.5,6500,-4.5,2.0,0.2191,0.2887
4.0,6500,-4.5,2.0,0.2178,0.29
4.5,6500,-4.5,2.0,0.2132,0.2936
5.0,6500,-4.5,2.0,0.2026,0.3013
3.5,6750,-4.5,2.0,0.2084,0.291
4.0,6750,-4.5,2.0,0.2106,0.2895
4.5,6750,-4.5,2.0,0.2105,0.2896
5.0,6750,-4.5,2.0,0.2051,0.2936
3.5,7000,-4.5,2.0,0.1951,0.2958
4.0,7000,-4.5,2.0,0.1999,0.2922
4.5,7000,-4.5,2.0,0.2034,0.2895
5.0,7000,-4.5,2.0,0.2026,0.2902
3.5,7250,-4.5,2.0,0.1826,0.2986
4.0,7250,-4.5,2.0,0.1869,0.2967
4.5,7250,-4.5,2.0,0.1928,0.2923
5.0,7250,-4.5,2.0,0.1936,0.2918
3.5,7500,-4.5,2.0,0.3062,0.1864
4.0,7500,-4.5,2.0,0.1813,0.2963
4.5,7500,-4.5,2.0,0.1803,0.2966
5.0,7500,-4.5,2.0,0.1828,0.2951
3.5,7750,-4.5,2.0,0.2828,0.2023
4.0,7750,-4.5,2.0,0.2896,0.1946
4.5,7750,-4.5,2.0,0.1687,0.3004
5.0,7750,-4.5,2.0,0.1713,0.2989
3.5,8000,-4.5,2.0,0.2559,0.2181
4.0,8000,-4.5,2.0,0.2673,0.2093
4.5,8000,-4.5,2.0,0.2733,0.203
5.0,8000,-4.5,2.0,0.1578,0.3039
3.5,8250,-4.5,2.0,0.2293,0.2315
4.0,8250,-4.5,2.0,0.2434,0.2217
4.5,8250,-4.5,2.0,0.2533,0.2146
5.0,8250,-4.5,2.0,0.1514,0.3035
3.5,8500,-4.5,2.0,0.2087,0.2416
4.0,8500,-4.5,2.0,0.2192,0.2315
4.5,8500,-4.5,2.0,0.233,0.224
5.0,8500,-4.5,2.0,0.2379,0.2219
3.5,8750,-4.5,2.0,0.1919,0.2481
4.0,8750,-4.5,2.0,0.2001,0.2391
4.5,8750,-4.5,2.0,0.2102,0.2323
5.0,8750,-4.5,2.0,0.2198,0.2294
3.5,9000,-4.5,2.0,0.1795,0.2502
4.0,9000,-4.5,2.0,0.1855,0.2435
4.5,9000,-4.5,2.0,0.1926,0.2365
5.0,9000,-4.5,2.0,0.1998,0.2293
3.5,9250,-4.5,2.0,0.1701,0.2506
4.0,9250,-4.5,2.0,0.1745,0.2452
4.5,9250,-4.5,2.0,0.1795,0.2404
5.0,9250,-4.5,2.0,0.1852,0.2347
3.5,9500,-4.5,2.0,0.1635,0.2498
4.0,9500,-4.5,2.0,0.1662,0.2451
4.5,9500,-4.5,2.0,0.169,0.2423
5.0,9500,-4.5,2.0,0.1731,0.2382
3.5,9750,-4.5,2.0,0.1572,0.2496
4.0,9750,-4.5,2.0,0.1596,0.2444
4.5,9750,-4.5,2.0,0.1611,0.2422
5.0,9750,-4.5,2.0,0.1632,0.2401
3.5,10000,-4.5,2.0,0.1525,0.2485
4.0,10000,-4.5,2.0,0.1543,0.2436
4.5,10000,-4.5,2.0,0.1549,0.2416
5.0,10000,-4.5,2.0,0.1558,0.2402
3.5,3750,-4.0,2.0,0.0746,0.461
3.5,4000,-4.0,2.0,0.0183,0.4596
4.0,4000,-4.0,2.0,0.0154,0.4683
4.5,4000,-4.0,2.0,0.7258,0.0983
3.5,4250,-4.0,2.0,0.054,0.4076
4.0,4250,-4.0,2.0,0.0176,0.4171
3.5,4500,-4.0,2.0,0.1316,0.3694
4.0,4500,-4.0,2.0,0.0758,0.3866
4.5,4500,-4.0,2.0,0.0271,0.4042
5.0,4500,-4.0,2.0,-0.001,0.407
3.5,4750,-4.0,2.0,0.1693,0.3634
4.0,4750,-4.0,2.0,0.1377,0.3657
4.5,4750,-4.0,2.0,0.0933,0.376
5.0,4750,-4.0,2.0,0.0517,0.385
3.5,5000,-4.0,2.0,0.1878,0.3495
4.0,5000,-4.0,2.0,0.1608,0.3646
4.5,5000,-4.0,2.0,0.123,0.3813
5.0,5000,-4.0,2.0,0.1008,0.3751
3.5,5250,-4.0,2.0,0.2031,0.3337
4.0,5250,-4.0,2.0,0.1909,0.3397
4.5,5250,-4.0,2.0,0.1631,0.3545
5.0,5250,-4.0,2.0,0.1176,0.3825
3.5,5500,-4.0,2.0,0.2178,0.3169
4.0,5500,-4.0,2.0,0.2014,0.3279
4.5,5500,-4.0,2.0,0.179,0.3419
5.0,5500,-4.0,2.0,0.1512,0.3581
3.5,5750,-4.0,2.0,0.2226,0.3058
4.0,5750,-4.0,2.0,0.2124,0.3134
4.5,5750,-4.0,2.0,0.1955,0.325
5.0,5750,-4.0,2.0,0.1731,0.3397
3.5,6000,-4.0,2.0,0.2263,0.2956
4.0,6000,-4.0,2.0,0.222,0.2991
4.5,6000,-4.0,2.0,0.2087,0.309
5.0,6000,-4.0,2.0,0.1893,0.3228
3.5,6250,-4.0,2.0,0.2262,0.2886
4.0,6250,-4.0,2.0,0.2215,0.2932
4.5,6250,-4.0,2.0,0.2162,0.2968
5.0,6250,-4.0,2.0,0.1983,0.31
3.5,6500,-4.0,2.0,0.2194,0.2875
4.0,6500,-4.0,2.0,0.2181,0.2893
4.5,6500,-4.0,2.0,0.2158,0.2912
5.0,6500,-4.0,2.0,0.2057,0.2986
3.5,6750,-4.0,2.0,0.2082,0.2904
4.0,6750,-4.0,2.0,0.2105,0.2887
4.5,6750,-4.0,2.0,0.2122,0.288
5.0,6750,-4.0,2.0,0.2071,0.2918
3.5,7000,-4.0,2.0,0.195,0.2956
4.0,7000,-4.0,2.0,0.1997,0.292
4.5,7000,-4.0,2.0,0.2049,0.2881
5.0,7000,-4.0,2.0,0.2028,0.2896
3.5,7250,-4.0,2.0,0.183,0.2984
4.0,7250,-4.0,2.0,0.1869,0.2965
4.5,7250,-4.0,2.0,0.1942,0.2911
5.0,7250,-4.0,2.0,0.1958,0.2899
3.5,7500,-4.0,2.0,0.3061,0.1863
4.0,7500,-4.0,2.0,0.1822,0.2954
4.5,7500,-4.0,2.0,0.1812,0.2959
5.0,7500,-4.0,2.0,0.1848,0.2935
3.5,7750,-4.0,2.0,0.2822,0.2028
4.0,7750,-4.0,2.0,0.2895,0.1946
4.5,7750,-4.0,2.0,0.1697,0.2995
5.0,7750,-4.0,2.0,0.1726,0.2978
3.5,8000,-4.0,2.0,0.2554,0.2183
4.0,8000,-4.0,2.0,0.2672,0.2092
4.5,8000,-4.0,2.0,0.2731,0.2031
5.0,8000,-4.0,2.0,0.1591,0.3028
3.5,8250,-4.0,2.0,0.2288,0.2319
4.0,8250,-4.0,2.0,0.2429,0.222
4.5,8250,-4.0,2.0,0.253,0.2147
5.0,8250,-4.0,2.0,0.1521,0.3027
3.5,8500,-4.0,2.0,0.2083,0.242
4.0,8500,-4.0,2.0,0.2191,0.2314
4.5,8500,-4.0,2.0,0.2323,0.2245
5.0,8500,-4.0,2.0,0.2377,0.2219
3.5,8750,-4.0,2.0,0.1922,0.2477
4.0,8750,-4.0,2.0,0.2001,0.239
4.5,8750,-4.0,2.0,0.2099,0.2323
5.0,8750,-4.0,2.0,0.22,0.2291
3.5,9000,-4.0,2.0,0.1796,0.2501
4.0,9000,-4.0,2.0,0.1857,0.2433
4.5,9000,-4.0,2.0,0.1925,0.2365
5.0,9000,-4.0,2.0,0.1997,0.2293
3.5,9250,-4.0,2.0,0.1702,0.2506
4.0,9250,-4.0,2.0,0.1745,0.245
4.5,9250,-4.0,2.0,0.1792,0.2407
5.0,9250,-4.0,2.0,0.1849,0.2348
3.5,9500,-4.0,2.0,0.163,0.2502
4.0,9500,-4.0,2.0,0.1662,0.245
4.5,9500,-4.0,2.0,0.1687,0.2424
5.0,9500,-4.0,2.0,0.173,0.2382
3.5,9750,-4.0,2.0,0.1574,0.2493
4.0,9750,-4.0,2.0,0.1594,0.2445
4.5,9750,-4.0,2.0,0.161,0.2421
5.0,9750,-4.0,2.0,0.1632,0.2399
3.5,10000,-4.0,2.0,0.1523,0.2486
4.0,10000,-4.0,2.0,0.1541,0.2436
4.5,10000,-4.0,2.0,0.155,0.2413
5.0,10000,-4.0,2.0,0.1557,0.2402
